ns1:EventDate,ns1:AttendanceEventType,ns1:AttendanceEventCategory,ns1:AttendanceEventReason,ns1:EducationalEnvironment,ns1:StudentUniqueStateId,ns1:StateOrganizationId,ns1:LocalCourseCode,ns1:SchoolYear,ns1:Term,ns1:ClassPeriodName,ns1:Location
10/13/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6557820421,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/14/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6557820421,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
9/4/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,6557820421,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2724490794,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,2724490794,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/16/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4716822556,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/15/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4716822556,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/14/2015,Daily Attendance,Unexcused Absence,Suspension,Classroom,4716822556,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,546081826,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/26/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,546081826,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/23/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,546081826,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/22/2015,Daily Attendance,Excused Absence,Excused Absence,Classroom,546081826,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/20/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3512272909,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
11/6/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3512272909,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
10/22/2015,Daily Attendance,Unexcused Absence,Unexcused Absence,Classroom,3512272909,57906041,2016041TSDSATT,2015-2016,Fall Semester,TS,NA
